path	branch	head	dirty_entries	ignored_evidence_files	node_modules	node_modules_kind	node_modules_target	dist_dirs	has_public	has_artifacts	has_test_results	merged_into_ship	structural_size_class
C:/Users/david/projects/atomic-acres-pass62-gameplay-20260724	contrib/dave-gaming-pc/codex/pass62-gameplay-reconciliation	3aad07cf	0	100	yes	real	-	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass62-graphics-refinement-20260724	contrib/dave-gaming-pc/codex/pass62-graphics-refinement	f2a675c3	0	14	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass62-offline-integration-20260724	contrib/dave-gaming-pc/codex/pass62-offline-integration	005e44f6	0	53	yes	real	-	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass63-atomic-visuals-20260724	contrib/dave-gaming-pc/codex/pass63-atomic-visuals	2e9e413e	0	11	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass63-cleanup-20260724	contrib/dave-gaming-pc/codex/pass63-cleanup	9ab0f302	0	138	yes	real	-	1	yes	yes	yes	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass63-rollback-rebuild-test	(detached)	ac85e9b8	0	0	yes	real	-	1	yes	no	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass63-terminal-visuals-20260724	contrib/dave-gaming-pc/codex/pass63-terminal-visuals	8bf104d3	0	10	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass63-text-chat-20260724	contrib/dave-gaming-pc/codex/pass63-text-chat	a42dd99a	0	3	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass67-stable-rebuild-test	(detached)	8c3ad1cd	0	0	yes	real	-	1	yes	no	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass68-chooser-labels	contrib/dave-gaming-pc/hermes/pass68-chooser-labels	1383a615	0	2	yes	real	-	0	yes	yes	no	no	C_installed_nodist
C:/Users/david/projects/atomic-acres-pass68-final-verification	verify/pass68-final-verification	2df960ed	0	2	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass68-historical-timestamp-gate	contrib/dave-gaming-pc/hermes/pass68-historical-timestamp-gate	aa1b71d4	0	3	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass68-legacy-alias	contrib/dave-gaming-pc/hermes/pass68-legacy-alias	d5de861f	0	1	yes	real	-	0	yes	yes	no	no	C_installed_nodist
C:/Users/david/projects/atomic-acres-pass68-release-workflow-fix	contrib/dave-gaming-pc/hermes/pass68-release-workflow-fix	ba2fa174	0	0	yes	real	-	0	yes	no	no	yes	C_installed_nodist
C:/Users/david/projects/atomic-acres-pass68-stable-changelog-id	contrib/dave-gaming-pc/hermes/pass68-stable-changelog-id	b2439d8e	0	1	yes	real	-	0	yes	yes	no	no	C_installed_nodist
C:/Users/david/projects/atomic-acres-pass68-topology-label-fix	contrib/dave-gaming-pc/hermes/pass68-topology-label-fix	854b6f96	0	3	yes	real	-	0	yes	yes	no	no	C_installed_nodist
C:/Users/david/projects/atomic-acres-pass69-1-mobile-controls	contrib/dave-gaming-pc/hermes/pass69-1-mobile-controls	71d0e7ed	0	23	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass69-2-audit	(detached)	cd99571c	0	42	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
